Emapp,id,Produit,Code NFH,Famille,Ss-Famille,Gamme,Variante,Conditmt,Prix indicatif,Unite Energ.,Poids/Volume par piece,Calcium,Sodium,Proteines,Glucides,Lipides,kJ,kcal,dont acides gras satures,dont sucres,% de net
EMApp,28,Mesclun,10.09,Fruits_et_légumes,Légumes,cru sous vide,,sachet,5.20 €,kg,1,0,252,1.90,1.70,0.50,90,21.53,0.50,0.80,1
EMApp,29,Citron zeste confit,10.14,Epicerie,Epicerie,déshydraté,,sachet,15 €,kg,1,171,6,1.50,2.49,0.30,211,50.60,0.04,2.49,1
EMApp,30,Porc - Mini rillauds,10.07,Viandes_Poissons,Charcuterie,cuit sous vide,,kg,8.90 €,kg,1,0,1.20,21.40,0,30.20,1483,358,11.60,0,1
EMApp,31,Cabillaud (Dos),10.08,Viandes_Poissons,Poisson,brut,,Kg,12 €,kg,1,10,65,18.50,0,0.90,350,83,0.16,0,1
EMApp,32,Pain,10.14,Epicerie,Epicerie,déshydraté,,kg,0.85 €,kg,1,39.20,525,7.54,52.30,0.95,1090,258,0.27,1.80,1
EMApp,33,Tortillas de blé,10.04,Surgelés,Surgelé entrée,surgelé,,Piece,0.25 €,piece,0.050,0,0,8.80,51.80,5.70,1276,302,3,2.80,1
EMApp,34,Baies roses,10.14,Epicerie,Epicerie,déshydraté,,,30 €,kg,1,0,4.40,11.00,61,3,1551,369,3,0.01,1
EMApp,35,Crème de soja,10.12,BOF,Crèmes et spécialités à base de crème,brut,litre,litre,2.50 €,litre,1,0,0.04,3.10,4.50,14,651,157,2.60,1.40,1
EMApp,36,Glace vanille,10.04,Surgelés,Surgelé dessert,surgelé,,bac,11.20 €,kg,1,0,0,3.20,23.60,8.80,780,186,5.90,20.90,1
EMApp,37,Macédoine de légumes,10.03,Surgelés,Surgelé légume,surgelé,,kg,1.80 €,kg,1,35.50,358,1.90,6.70,0.80,200,47.60,0.05,2.41,1
EMApp,38,Pâtes pépinettes,10.14,Epicerie,Epicerie,déshydraté,,kg,1.25 €,kg,1,41.25,287,12.13,74.25,2,1602,377.50,0.26,1.18,1
EMApp,39,Pâtes perles,10.14,Epicerie,Epicerie,déshydraté,,kg,1.25 €,kg,1,41.25,287,12.13,74.25,2,1602,377.50,0.26,1.18,1
EMApp,40,Sel gris fin,10.14,Epicerie,Epicerie,déshydraté,,,1 €,kg,1,171,37700,0.00,0,0,0,0,0,0,1
EMApp,41,Pomme de terre,10.10,Fruits_et_légumes,Légumes,brut,,Kg,0.85 €,kg,1,5,1.43,1.87,19.10,0.22,379,90,0.03,0.70,0.90
EMApp,42,Saumon,10.08,Viandes_Poissons,Poisson,brut,,Kg,6.50 €,kg,1,11.20,47,19.90,0,11.30,756,181,2.32,0,0.50
EMApp,43,Lentille corail,10.14,Epicerie,Epicerie,déshydraté,,kg,2.40 €,kg,1,64.50,307.50,20.20,41.50,1.37,1185,280,0.12,3.07,1
EMApp,44,Cornichons rondelles,10.14,Epicerie,Epicerie,appertisé,Boite 5/1,Boite 5/1,5 €,kg,1,32,551,1.20,3,0.30,116,28,0,2.40,1
EMApp,45,Pétale de maïs non sucré,10.14,Epicerie,Epicerie,déshydraté,,,4 €,kg,1,100,449,7.50,83.70,0.76,1600,378,0.14,8,1
EMApp,46,Pétale de maïs sucrée,10.14,Epicerie,Epicerie,déshydraté,,,4 €,kg,1,343,470,6.00,85.50,1.16,1620,381,0.22,37.20,1
EMApp,47,Poisson-Cabillaud (Filet),10.08,Viandes_Poissons,Poisson,brut,,Kg,12 €,kg,1,10,65,18.50,0,0.90,350,83,0.16,0,0.60
EMApp,48,Poisson-Maquereau (filet),10.08,Viandes_Poissons,Poisson,brut,,Kg,16.25 €,kg,1,12.80,83,23.90,0,15.80,991,238,4.64,0,0.80
EMApp,49,Persil haché,10.09,Fruits_et_légumes,"Herbes, épices et assaisonnements",brut,haché,Kg,6 €,kg,1,190,90.70,3.00,4.57,0.84,194,47,0,0,0.50
EMApp,50,Canard-Effiloché confit,10.07,Viandes_Poissons,Volaille,brut,confit,kg,7.20 €,kg,1,9.60,944,30.70,0,10.50,910,217,4.80,0,1
EMApp,51,Porc-Jambon dés,10.07,Viandes_Poissons,Charcuterie,brut,Dés,kg,4.13 €,kg,1,7.20,745,20.90,0.50,3.20,479,114,1.08,0,1
EMApp,52,Poisson-Saumon ss peau ss aretes Pavé,10.02,Surgelés,Surgelé poisson,surgelé,120-140g,Kg,9.90 €,kg,1,11.20,47,19.90,0,11.30,756,181,0,0,0.90
EMApp,53,Poulet-Haut de Cuisse,10.07,Viandes_Poissons,Volaille,brut,160-200g,Kg,2.87 €,kg,1,5.80,103,26.20,0,9.60,801,191,2.97,0,1
EMApp,54,Poulet-Haut de Cuisse,10.07,Viandes_Poissons,Volaille,brut,110-130g,Kg,2.87 €,kg,1,5.80,103,26.20,0,9.60,801,191,2.97,0,1
EMApp,55,Poulet-Pilon,10.07,Viandes_Poissons,Volaille,brut,90-110g,Kg,3.45 €,kg,1,15,103,26.00,0,9.57,796,190,2.26,0,0.30
EMApp,56,Poulet-Cuisses (Déjointées),10.07,Viandes_Poissons,Volaille,brut,220-240g,Kg,2.87 €,kg,1,5.80,103,26.20,0,9.60,801,191,2.97,0,0.50
EMApp,57,Poulet-Cuisses (Déjointées),10.07,Viandes_Poissons,Volaille,brut,200-220g,Kg,2.87 €,kg,1,5.80,103,26.20,0,9.60,801,191,2.97,0,0.50
EMApp,58,Poulet-Cuisse,10.01,Surgelés,Surgelé viande,surgelé,220-240g,Kg,2.15 €,kg,1,14.50,103,26.00,0,9,775,185,0,0,0.50
EMApp,59,Poulet-Cuisse,10.01,Surgelés,Surgelé viande,surgelé,200-220g,Kg,2.15 €,kg,1,14.50,103,26.00,0,9,775,185,0,0,0.50
EMApp,60,Poulet-Cuisse,10.01,Surgelés,Surgelé viande,surgelé,180-200g,Kg,2.15 €,kg,1,14.50,103,26.00,0,9,775,185,0,0,0.50
EMApp,61,Poulet-Suprême,10.07,Viandes_Poissons,Volaille,brut,120-140g,colis,10.50 €,kg,1,13.60,415,26.20,0.35,1.76,511,121,0.59,0,1
EMApp,62,Poulet-Filet (Escalope),10.07,Viandes_Poissons,Volaille,brut,120-140g,Kg,6.80 €,kg,1,13.60,415,26.20,0.35,1.76,511,121,0.59,0,1
EMApp,63,Poulet-Filet (Escalope),10.07,Viandes_Poissons,Volaille,brut,100-120g,Kg,6.80 €,kg,1,13.60,415,26.20,0.35,1.76,511,121,0.59,0,1
EMApp,64,Dinde-Escalope,10.07,Viandes_Poissons,Volaille,brut,120-140g,Kg,5.25 €,kg,1,11,73.70,28.50,0,1.44,538,127,0.40,0,0.90
EMApp,65,saute de dinde ss os ss peau,10.07,Viandes_Poissons,Volaille,brut,60-80g,Kg,3.60 €,kg,1,11,87.50,28.50,0,1.44,538,127,0.50,0,0.80
EMApp,66,saute de dinde ss os ss peau,10.07,Viandes_Poissons,Volaille,brut,40-60g,Kg,3.60 €,kg,1,11,87.50,28.50,0,1.44,538,127,0.50,0,0.80
EMApp,67,Dinde-Filet (émincé),10.07,Viandes_Poissons,Volaille,brut,20-40g,Kg,6.20 €,kg,1,11,73.70,28.50,0,1.44,538,127,0.40,0,1
EMApp,68,Porc-Joue (sauté),10.07,Viandes_Poissons,Porc,brut,,Kg,6.50 €,kg,1,10,67,17.30,0,16.50,932,224,5.88,0,1
EMApp,69,Céréales gourmandes,10.14,Epicerie,Epicerie,déshydraté,,sac de 4.5 kg,5.67 €,kg,1,0,0,16.00,63,3.90,1579,373,0.60,4.20,1
EMApp,70,Chocolat noir,10.14,Epicerie,Epicerie,déshydraté,palets,cart 5 kg,6.90 €,kg,1,0,0,9.25,33.30,41.90,2370,572,30.60,21.30,1
EMApp,71,Quinoa gourmand,10.14,Epicerie,Epicerie,déshydraté,,sac de 4.5kg,8.63 €,kg,1,0,0,13.00,65,4.30,1523,360,0.50,2.70,1
EMApp,72,Porc-Rouelle,10.07,Viandes_Poissons,Porc,brut,,Kg,4.50 €,kg,1,0,0,20.02,0,7.56,623,149,0,0,1
EMApp,73,Porc-Poitrine,10.07,Viandes_Poissons,Porc,brut,,Kg,4.50 €,kg,1,6.17,57.10,16.90,0,21.40,1076,259,8.67,0,1
EMApp,74,Veau-collier (sauté),10.07,Viandes_Poissons,Veau,brut,60-80 g,Kg,6.95 €,kg,1,10,51,17.80,0,5.92,582,124,1.99,0,0.90
EMApp,75,Porc-Epaule(sauté),10.07,Viandes_Poissons,Porc,brut,60-80 gr,Kg,3.87 €,kg,1,10,67,30.00,0,14.30,1060,253,5.56,0,1
EMApp,76,Porc-Filet rôti,10.07,Viandes_Poissons,Porc,brut,,kg,4.10 €,kg,1,7.60,63.60,18.60,0,10.60,725,174,3.81,0,1
EMApp,77,Porc-Echine (côte),10.07,Viandes_Poissons,Porc,brut,140-160 g,Kg,3.86 €,kg,1,18,0,27.30,0,13.90,1014,242,4.20,0,0.90
EMApp,78,Veau-Côte,10.07,Viandes_Poissons,Veau,brut,,,14.56 €,kg,1,11,60,16.40,0,12.80,6,181,6,0,1
EMApp,79,Agneau-Sauté (épaule),10.07,Viandes_Poissons,Agneau,brut,60-80 g,Kg,12.45 €,kg,1,0,0,21.00,0,12,803,192,6.14,0,1
EMApp,80,Veau-Poitrine (sauté),10.07,Viandes_Poissons,Veau,brut,60-80 g,Kg,8.49 €,kg,1,0,0,19.50,0,4.63,503,120,2.16,0,1
EMApp,81,Agneau-Collier (sauté),10.07,Viandes_Poissons,Agneau,brut,60-80 g,Kg,10.40 €,kg,1,0,0,16.40,0,13.20,767,184,5.80,0,1
EMApp,82,Boeuf-Cuit,10.07,Viandes_Poissons,Bœuf,cuit sous vide,,Kg,8.50 €,kg,1,17,52,28.50,0,14,1000,240,6.05,0,1
EMApp,83,Veau-Epaule (sauté),10.07,Viandes_Poissons,Veau,brut,60-80 g,Kg,8.49 €,kg,1,10,0,18.50,0,4.63,486,116,2.16,0,1
EMApp,84,Boeuf-Viande hachée 10% MG,10.01,Surgelés,Surgelé viande,surgelé,,Kg,5.60 €,kg,1,8.50,65.50,20.60,0,9.60,705,169,3.67,0,1
EMApp,85,Boeuf-Viande hachée 5% MG,10.01,Surgelés,Surgelé viande,surgelé,,Kg,6.50 €,kg,1,7,58,19.60,0,4.69,507,121,1.64,0,1
EMApp,86,Boeuf-Viande hachée 5% MG,10.07,Viandes_Poissons,Bœuf,brut,,Kg,6.50 €,kg,1,7,58,19.60,0,4.69,507,121,1.64,0,1
EMApp,87,Fromage-Tomme pyrénnée brebis,10.12,BOF,Fromages affinés à pâte ferme,brut,portion,,0.25 €,piece,0.025,788,648,71.90,1.15,33.60,1670,403,20.60,0,1
EMApp,88,Boeuf-Coeur (pad),10.07,Viandes_Poissons,Bœuf,brut,,Kg,2.50 €,kg,1,6.24,93.50,16.60,0.60,2.59,388,92.10,0.59,0.50,1
EMApp,89,Boeuf-Foie,10.07,Viandes_Poissons,Bœuf,brut,120-140 g,Kg,4.50 €,kg,1,5.99,81,19.00,5.09,4.46,575,136,1.24,0,0.90
EMApp,90,Yaourt aux fruits demi-écrémé brassé,10.12,BOF,Yaourts et spécialités laitières type yaourts,brut,,,0.20 €,piece,1,111,41,2.70,13.90,1.77,361,88.30,0.87,11.10,1
EMApp,91,Filet de boeuf,10.07,Viandes_Poissons,Bœuf,brut,,Kg,20 €,kg,1,10.10,153,26.40,0,3.78,589,140,0.95,0,1
EMApp,92,Boeuf-Tende de tranche (rôti),10.07,Viandes_Poissons,Bœuf,cru sous vide,,Kg,8.50 €,kg,1,0,0,20.60,0,3.69,487,116,0.80,0,1
EMApp,93,Boeuf-Entrecôte,10.07,Viandes_Poissons,Bœuf,brut,120_140 g,Kg,12 €,kg,1,7,59.50,18.40,0,17,942,227,8.06,0,0.80
EMApp,94,Boeuf-Entrecôte,10.07,Viandes_Poissons,Bœuf,brut,100-120 g,Kg,12 €,kg,1,7,59.50,18.40,0,17,942,227,8.06,0,1
EMApp,95,Boeuf-Steak haché surgelé 15 % MG,10.01,Surgelés,Surgelé viande,surgelé,120 g,Kg,5.42 €,kg,1,10.20,110,18.70,1,13.60,830,199,5.88,0,0.80
EMApp,96,Boeuf-Steak haché 20% MG,10.07,Viandes_Poissons,Bœuf,brut,120 g,Kg,6.50 €,kg,1,11,64.50,16.80,0,24.20,1180,285,9.79,0,1
EMApp,97,Boeuf-Steak haché 15% MG,10.07,Viandes_Poissons,Bœuf,brut,120 g,Kg,6.50 €,kg,1,10.20,110,18.70,0,13.60,830,199,5.88,0,1
EMApp,98,Boeuf-Steak haché 10% MG,10.07,Viandes_Poissons,Bœuf,brut,120 g,Kg,5.60 €,kg,1,8.50,65.50,20.60,0,9.60,705,169,3.67,0,1
EMApp,99,Boeuf-Steak haché 5% MG,10.07,Viandes_Poissons,Bœuf,brut,120 g,Kg,6.50 €,kg,1,7,58,19.60,0,4.69,507,121,1.64,0,1
EMApp,100,Boeuf-Hampe,10.07,Viandes_Poissons,Bœuf,brut,120-140 g,Kg,6.50 €,kg,1,0,0,18.00,0,8.62,625,150,3.91,0,1
EMApp,101,Boeuf-Faux filet,10.07,Viandes_Poissons,Bœuf,brut,100-120 g,Kg,9.50 €,kg,1,0,62.50,21.60,0,3.37,492,117,1.55,0,1
EMApp,102,Boeuf-Faux filet,10.07,Viandes_Poissons,Bœuf,brut,120-140 g,Kg,9.50 €,kg,1,0,62.50,21.60,0,3.37,492,117,1.55,0,0.80
EMApp,103,Boeuf-Bavette,10.07,Viandes_Poissons,Bœuf,brut,120-140 g,Kg,8.25 €,kg,1,0,0,18.30,0,3.27,432,103,1.45,0,1
EMApp,104,Boeuf-Joue (sauté),10.07,Viandes_Poissons,Bœuf,brut,60-80 g,Poche,8.25 €,kg,1,0,0,22.30,0,5,561,134,44.20,0,1
EMApp,105,Boeuf-Bavette,10.07,Viandes_Poissons,Bœuf,brut,100-120 g,Kg,8.25 €,kg,1,0,0,18.30,0,3.27,432,103,1.45,0,1
EMApp,106,Boeuf-Joue (sauté),10.07,Viandes_Poissons,Bœuf,brut,40-60 g,Poche,8.25 €,kg,1,0,0,22.30,0,5,561,134,44.20,0,1
EMApp,107,Boeuf-Joue (pad),10.07,Viandes_Poissons,Bœuf,brut,,Poche,8.25 €,kg,1,0,0,22.30,0,5,561,134,44.20,0,1
EMApp,108,Boeuf-Collier (sauté),10.07,Viandes_Poissons,Bœuf,brut,60-80 g,Poche,6.68 €,kg,1,0,0,33.00,0,5.80,776,184,1.97,0,1
EMApp,109,Boeuf-Collier (sauté),10.07,Viandes_Poissons,Bœuf,brut,40-60 g,Poche,6.68 €,kg,1,0,0,33.00,0,5.80,776,184,1.97,0,1
EMApp,110,Fromage-Roquefort,10.12,BOF,Fromages affinés à pâte persillée,brut,portion,pièce,0.38 €,piece,0.020,601,1560,19.10,1.78,32.10,1550,375,18.40,0.10,1
EMApp,111,Boeuf-Paleron (pad),10.07,Viandes_Poissons,Bœuf,brut,,Poche,5.15 €,kg,1,0,0,20.01,0,6.53,583,139,2.59,0,1
EMApp,112,Boeuf-Paleron (sauté),10.07,Viandes_Poissons,Bœuf,brut,60-80 g,Poche,6.68 €,kg,1,0,0,20.01,0,6.53,583,139,2.59,0,1
EMApp,113,riz soufflé grillé,10.14,Epicerie,Epicerie,déshydraté,,,8 €,kg,1,0,0,0.07,0.09,0,1628,384,0,0.01,1
EMApp,114,Chocolat au lait,10.14,Epicerie,Epicerie,déshydraté,,kg,4 €,kg,1,0,0.19,0.00,0.05,0.04,2399,576,0.02,0,1
EMApp,115,Veau - viande hachée fraîche,10.07,Viandes_Poissons,Veau,brut,,,13.50 €,kg,1,0,0.19,18.50,0.50,13,804,192,0.20,0.50,1
EMApp,116,Courge spaghetti,10.10,Fruits_et_légumes,Légumes,brut,,,0 €,kg,1,25.90,9.30,0.60,1.90,0.10,57,14,0.01,0.60,0.80
EMApp,117,Cacahuète sans sel,10.14,Epicerie,Epicerie,déshydraté,,kg,3.63 €,kg,1,47.40,0,27.30,9.73,47.40,2540,613,0,0,1
EMApp,118,Caramel liquide,10.14,Epicerie,Epicerie,déshydraté,,litre,6.90 €,litre,1,0,0.01,0.50,79,0.50,1300,320,0,79,1
EMApp,119,Veau-Epaule (émincé),10.07,Viandes_Poissons,Veau,brut,,Kg,7.90 €,kg,1,10,51,18.50,0.10,4.63,486,116,2.16,0,0.90
EMApp,120,Préparation déshydratée pour milk drink,10.14,Epicerie,Epicerie,,Chocolat,boîte,38 €,kg,1,0,72,2.50,91,2.90,1722,406,1.80,61,1
EMApp,121,Crudimix,10.14,Epicerie,Epicerie,déshydraté,,pot,10 €,kg,1,0,0,1.00,91,1,387,1641,0.10,7,1
EMApp,122,Gîte,10.07,Viandes_Poissons,Bœuf,brut,,Kg,7.90 €,kg,1,0,0,20.10,0,6.53,583,139,2.59,0,0.80
EMApp,123,Farine de riz,10.14,Epicerie,Epicerie,déshydraté,,kg,0 €,kg,1,0,0,0.00,0,0,0,0,0,0,1
EMApp,124,Cuisse de canette,10.07,Viandes_Poissons,Volaille,brut,,kg,4.90 €,kg,1,6.78,155,23.30,0,11.20,810,194,3.36,0,0.60
EMApp,125,Sucre de canne brun,10.14,Epicerie,Epicerie,déshydraté,,kg,1.74 €,kg,1,134,0,1.90,96.70,0,1650,387,0,96,1
EMApp,126,Cardamome,10.14,Epicerie,Epicerie,déshydraté,,,0 €,kg,1,383,18,10.76,68.47,6.70,1810.86,433.22,0.01,0,1
EMApp,127,Oeuf poudre - Jaune,10.14,Epicerie,Epicerie,déshydraté,,Boite,29.75 €,kg,1,26,17,30.00,2.50,59,2876,688,0,0,1
EMApp,128,Dinde-Sot ly laisse,10.07,Viandes_Poissons,Volaille,brut,,Kg,5.50 €,kg,1,11,87.50,28.50,0,1.44,538,127,0.48,0,0.80
EMApp,129,Fromage frais kg,10.12,BOF,Fromages ultrafrais,brut,,Kg,6.90 €,kg,1,85,610,15.00,3,13.30,801,191,8.40,3,1
EMApp,130,Biscuit sec petit beurre,10.14,Epicerie,Epicerie,déshydraté,,Kg,7.50 €,kg,1,46.70,371,8.20,72.50,12.70,1850,440,7.86,21.60,1
EMApp,131,Maïs à éclater,10.14,Epicerie,Epicerie,déshydraté,,,3.50 €,kg,1,0,0.02,11.00,62,4.70,1530,364,0,0,1
EMApp,132,Muesli aux fruits,10.14,Epicerie,Epicerie,déshydraté,,sachet,7.50 €,kg,1,60,237,9.00,69.40,5.28,1580,374,1.71,24,1
EMApp,133,Thé à la menthe,10.14,Epicerie,Epicerie,déshydraté,,kg,5.15 €,kg,1,104,2.52,0.50,0.50,0,0,16.72,0,0,1
EMApp,134,Crozets au sarrasin,10.14,Epicerie,Epicerie,déshydraté,,sac,6.47 €,kg,1,0,0,13.00,68,3,1488,351,0,0,1
EMApp,135,Crozets nature,10.14,Epicerie,Epicerie,déshydraté,,sac,5 €,kg,1,0,0,13.00,70,3,1522,359,0,0,1
EMApp,136,Cannelle,10.14,Epicerie,Epicerie,déshydraté,poudre,boite,7 €,kg,1,1000,10,3.87,27.50,1.22,1000,243,0.44,2.17,1
EMApp,137,Pommes dauphines,10.04,Surgelés,Surgelé légume,surgelé,,colis,2.39 €,kg,1,0,1.20,3.70,26.10,15.90,1117,268,0,0,1
EMApp,138,Tomate,10.09,Fruits_et_légumes,Légumes,cru sous vide,cubes,,5.90 €,kg,1,13,3.15,0.70,6,0.10,117,28,0.05,1.68,1
EMApp,139,Fromage de chèvre,10.12,BOF,Fromages affinés à pâte molle,brut,buchette,pièce,2.80 €,kg,1,107,511,19.30,1.50,24.10,1270,305,16.60,0.80,1
EMApp,140,Poisson-Filet,10.08,Viandes_Poissons,Poisson,brut,,Kg,9.90 €,kg,1,11.20,47,19.90,0,11.30,756,181,2.32,0,1
EMApp,141,Butternut,10.10,Fruits_et_légumes,Légumes,brut,,caisse,2.80 €,kg,1,48,4,1.00,4.03,0.10,105,25,0.02,2.20,0.80
EMApp,142,Pomme de terre,10.09,Fruits_et_légumes,Légumes,cru sous vide,,Kg,1 €,kg,1,5,1.43,1.87,19.10,0.22,379,90,0.03,0.70,1
EMApp,143,Pomme de terre,10.09,Fruits_et_légumes,Légumes,cru sous vide,Quartier,Kg,1.33 €,kg,1,5,1.43,1.87,19.10,0.22,379,90,0.03,0.70,1
EMApp,144,Bière blonde,10.14,Epicerie,Epicerie,brut,,bouteille,2.35 €,litre,1,8,4.44,0.37,1.65,0,135,32.30,0,1.65,1
EMApp,145,Lait protéine uht,10.12,BOF,Laits,brut,,brique,2.50 €,litre,1,0,0,0.00,0,0,0,0,0,0,1
EMApp,146,Surimi,10.08,Viandes_Poissons,Crustacés et mollusques,brut,Miette,sachet,5.20 €,kg,1,17.10,670,8.65,11.80,2.15,427,101,0.29,0,1
EMApp,147,Poulet-Filet (Entier),10.07,Viandes_Poissons,Volaille,brut,,Kg,6.80 €,kg,1,13.60,415,26.20,0.35,1.76,511,121,0.59,0,1
EMApp,148,Sauté de canard ss os avec peau,10.07,Viandes_Poissons,Volaille,brut,sauté,sachet,7.89 €,kg,1,6.78,155,23.30,0,11.20,810,194,3.36,0,1
EMApp,149,Haricot rouge,10.14,Epicerie,Epicerie,déshydraté,,sac,3.99 €,kg,1,42.90,161,8.58,14.40,0.52,469,111,0.08,3.80,1
EMApp,150,Boeuf-Paleron (sauté),10.07,Viandes_Poissons,Bœuf,brut,40-60 g,Poche,6.68 €,kg,1,0,0,20.01,0,6.53,583,139,2.59,0,1
EMApp,151,Coq ss os ss ailes,10.07,Viandes_Poissons,Volaille,cru sous vide,Découpe de coq,poche,5.65 €,kg,1,0,0,22.00,0,5.59,578.13,138.31,1.71,0,0.90
EMApp,152,Haricot plat coupé,10.03,Surgelés,Surgelé légume,surgelé,,Sachet,5.76 €,kg,1,0,0.03,1.40,3.50,0.20,100,26,0,0,1
EMApp,153,Segment d'agrumes,10.09,Fruits_et_légumes,Fruits,cru sous vide,segment,Seau,3.80 €,kg,1,0,3,0.80,9,0.20,181,44,0.05,8.30,1
EMApp,154,Pintade,10.07,Viandes_Poissons,Volaille,brut,cuisse,Kg,5 €,kg,1,12,73,23.30,0,5.59,630.30,150.80,1.71,0,0.90
EMApp,155,Mogette,10.14,Epicerie,Epicerie,déshydraté,,Kg,2.85 €,kg,1,55.20,77.50,8.42,13.60,0.30,437,104,0.09,0.76,1
EMApp,156,Tandoori,10.14,Epicerie,Epicerie,déshydraté,,pot,17.77 €,kg,1,0,5.64,9.60,27.30,9.70,1200,288,0,0,1
EMApp,157,Speculoos haché,10.14,Epicerie,Epicerie,déshydraté,,Sachet,5.45 €,kg,1,0,0.31,5.40,68.10,22,2080,496,0,0,1
EMApp,158,Poulet-Entier (PAC),10.07,Viandes_Poissons,Volaille,brut,1.1kg,Kg,3.95 €,kg,1,15,103,26.00,0,9.57,796,190,0,0,0.70
